Game Turn, Attacking Civ, DefendingCiv, AttackerObjType, DefenderObjType, Attacker Type, Defender Type, AttackerID, DefenderID, AttackerStr, DefenderStr, AttackerStrMod, DefenderStrMod, AttackerDmg, DefenderDmg
23, 63, 2, 1:1, 3276844:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 0, 12, 0, 18
23, 63, 2, 1:1, 1441813:131073, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -10, 15, 75, 15
24, 1, 63, 1:1, 131073:65536, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 17, 6, 23, 43
24, 2, 63, 1:1, 131073:3276844, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 12, 6, 14, 60
24, 3, 63, 1:1, 131073:1835035, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 23, 35
24, 4, 63, 1:1, 262145:2097183, UNIT_SLINGER, UNIT_SLINGER, 15, 5, 5, -6, 0, 70
24, 63, 2, 1:1, 3276844:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -6, 7, 0, 15
25, 1, 63, 1:1, 131073:65536, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 15, 2, 22, 40
25, 3, 63, 1:1, 131073:1835035, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -2, -4, 20, 54
25, 63, 2, 1:1, 3276844:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -6, 6, 0, 17
25, 63, 14, 1:1, 2490404:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, 0, 34, 34
26, 1, 63, 1:1, 131073:65536, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 13, -2, 23, 45
26, 9, 63, 1:1, 196610:2687015, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 1, 3, 41, 22
26, 63, 2, 1:1, 3276844:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -6, -4, 0, 20
26, 63, 10, 1:1, 3670064:196610, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, -1, 26, 34
26, 63, 14, 1:1, 2490404:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -3, 0, 38, 23
27, 2, 63, 1:1, 262146:2949139, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 15, 3, 0, 37
27, 14, 63, 1:1, 196610:262147, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 22, 40
27, 63, 14, 1:1, 2490404:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -7, 1, 46, 19
28, 8, 63, 1:1, 327680:3407918, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, 0, 34, 29
28, 10, 63, 1:1, 196610:3670064, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 3, -3, 22, 34
28, 63, 2, 1:1, 3145748:458756, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, 18, 57, 15
28, 63, 10, 1:1, 3670064:196610, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -6, -6, 32, 32
28, 63, 10, 1:1, 1966109:196610, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -7, -5, 24, 27
29, 2, 63, 1:1, 458756:2949139, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 14, -1, 20, 50
29, 8, 63, 1:1, 327680:3407918, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -3, -3, 29, 33
29, 63, 10, 1:1, 3670064:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -9, -1, 38, 19
30, 1, 63, 1:1, 458754:3211307, UNIT_SLINGER, UNIT_SCOUT, 15, 10, 5, 0, 0, 46
30, 2, 63, 1:1, 458756:1179665, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 2, 0, 18, 45
30, 8, 63, 1:1, 131073:3407918, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, -8, 21, 36
30, 8, 63, 1:1, 327680:3407918, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -6, -12, 26, 33
30, 63, 4, 1:1, 3866674:393216, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 0, 5, 0, 23
31, 2, 63, 1:1, 262146:2949139, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 15, -6, 0, 61
31, 4, 63, 1:1, 393216:3866674, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 3, 0, 13, 64
31, 12, 63, 1:1, 131073:3604527, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 18, 37
31, 63, 4, 1:1, 3866674:393216, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -6, 1, 0, 19
31, 63, 4, 1:1, 4063268:393216, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, 0, 29, 24
32, 1, 63, 1:1, 524293:2752552, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 5, -4, 15, 51
32, 9, 63, 1:1, 131073:131073, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -4, -9, 14, 56
32, 10, 63, 1:1, 131073:1966109, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 12, -1, 23, 41
32, 63, 0, 1:1, 2555941:262145, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -2, 5, 0, 19
32, 63, 10, 1:3, 3080234:65536, UNIT_SCOUT, UNKNOWN, 10, 15, -4, 6, 43, 19
32, 63, 4, 1:1, 3866674:262145, UNIT_SLINGER, UNIT_SLINGER, 15, 5, -6, 5, 0, 32
32, 63, 4, 1:1, 4063268:458755, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -3, 5, 25, 37
33, 0, 63, 1:1, 262145:2555941, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 5, -2, 11, 71
33, 2, 63, 1:1, 458756:1179665, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, -1, 21, 51
33, 4, 63, 1:1, 262145:4063268, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 7, -5, 0, 41
33, 4, 63, 1:1, 393216:4063268, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 10, -9, 11, 54
33, 63, 2, 1:1, 3473429:524291, UNIT_SLINGER, UNIT_ARCHER, 15, 15, 0, 8, 0, 26
33, 63, 10, 1:3, 3080234:65536, UNIT_SCOUT, UNKNOWN, 10, 15, -8, 6, 55, 13
33, 63, 4, 1:1, 4259886:262145, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 0, 2, 21, 55
33, 63, 4, 1:1, 1703961:262145, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, -5, -4, 20, 52
