seed,turn,seat,lane,cities,production,science,culture,gold,cumulative_production,alive,terminal
260909146,125,4,domination,4,133.900000,65.770000,32.246000,121.899000,8452.900000,true,false
260909146,125,5,score,4,140.200000,75.295000,40.545000,0.000000,8709.800000,true,false
260909146,150,0,science,5,99.400000,105.635000,39.061000,153.466500,9159.900000,true,false
260909146,150,1,culture,4,162.800000,96.900000,183.948000,398.111500,13748.000000,true,false
260909146,150,2,religious,4,113.600000,39.660000,23.220000,0.000000,9956.800000,true,false
260909146,150,3,diplomatic,4,88.700000,46.790000,19.682000,42.600000,9062.100000,true,false
260909146,150,4,domination,4,153.600000,85.136000,52.496000,4.340000,11993.600000,true,false
260909146,150,5,score,4,203.200000,99.021600,64.706000,132.116000,12873.400000,true,false
260909146,166,0,science,5,101.100000,113.950000,52.532000,104.566500,10656.900000,true,true
260909146,166,1,culture,4,177.000000,98.940000,214.696000,300.522500,16315.600000,true,true
260909146,166,2,religious,4,119.700000,37.614000,23.408000,0.000000,11647.900000,true,true
260909146,166,3,diplomatic,4,89.700000,46.640000,19.716000,61.617000,10363.700000,true,true
260909146,166,4,domination,4,174.400000,72.080000,97.158400,79.840000,14360.400000,true,true
260909146,166,5,score,4,228.400000,87.701600,54.080000,0.000000,15900.800000,true,true
260909147,25,0,science,3,28.600000,19.365000,8.837000,264.800000,440.300000,true,false
260909147,25,1,culture,3,37.700000,8.480000,9.540000,204.200000,519.600000,true,false
260909147,25,2,religious,2,30.800000,11.020000,7.076000,215.700000,473.500000,true,false
260909147,25,3,diplomatic,3,32.400000,7.290000,8.582000,176.000000,461.200000,true,false
260909147,25,4,domination,3,39.100000,9.890000,8.870000,241.700000,562.500000,true,false
260909147,25,5,score,3,35.000000,6.960000,9.744000,210.800000,578.600000,true,false
260909147,50,0,science,3,51.800000,33.085000,23.773000,91.800000,1446.400000,true,false
260909147,50,1,culture,3,75.600000,29.083400,56.109000,347.400000,1990.600000,true,false
260909147,50,2,religious,3,53.200000,19.140000,9.860000,114.000000,1580.000000,true,false
260909147,50,3,diplomatic,3,54.600000,28.536000,16.356000,136.461000,1576.600000,true,false
260909147,50,4,domination,3,60.800000,33.240000,24.604000,63.248000,1780.000000,true,false
260909147,50,5,score,3,60.200000,31.948800,18.672000,294.400000,1787.400000,true,false
260909147,75,0,science,3,60.200000,43.620000,26.172000,370.012000,2783.400000,true,false
260909147,75,1,culture,3,78.000000,61.715600,78.328000,0.000000,3972.700000,true,false
260909147,75,2,religious,3,66.800000,27.029000,11.832000,25.700000,3067.800000,true,false
260909147,75,3,diplomatic,4,82.600000,35.890000,19.838000,0.000000,3477.600000,true,false
260909147,75,4,domination,3,73.700000,69.016000,23.126000,50.000000,3390.200000,true,false
260909147,75,5,score,4,90.000000,57.017500,21.998000,239.132000,3546.500000,true,false
260909147,100,0,science,3,78.000000,65.055000,37.773000,396.251000,4398.300000,true,false
260909147,100,1,culture,3,113.400000,78.455000,89.613000,131.072000,6653.300000,true,false
260909147,100,2,religious,3,68.900000,33.920000,10.600000,0.000000,4856.100000,true,false
260909147,100,3,diplomatic,4,98.000000,62.814000,28.536000,84.048000,5702.900000,true,false
260909147,100,4,domination,4,105.300000,78.546500,29.168000,40.900000,5681.800000,true,false
260909147,100,5,score,4,128.400000,78.937600,34.646000,152.368000,6052.400000,true,false
260909147,125,0,science,4,132.800000,110.495800,53.075000,453.006000,6970.700000,true,false
260909147,125,1,culture,4,143.600000,69.050000,80.538000,127.722000,9843.100000,true,false
260909147,125,2,religious,4,85.800000,36.570000,12.190000,50.000000,6920.300000,true,false
260909147,125,3,diplomatic,3,98.000000,53.360000,25.984000,107.204000,8139.250000,true,false
260909147,125,4,domination,4,151.700000,70.980000,29.572000,0.000000,8659.800000,true,false
260909147,125,5,score,4,156.800000,77.806900,35.922000,0.000000,9426.750000,true,false
260909147,141,0,science,5,154.700000,145.255800,58.203000,218.178000,9303.900000,true,true
260909147,141,1,culture,5,176.800000,90.830000,116.045900,288.896000,12504.000000,true,true
260909147,141,2,religious,4,105.000000,43.500000,14.732000,95.700000,8467.200000,true,true
