seed,turn,seat,lane,cities,production,science,culture,gold,cumulative_production,alive,terminal
260909146,125,4,domination,4,134.000000,70.103000,53.267000,95.700000,8558.500000,true,false
260909146,125,5,score,4,115.800000,83.987400,57.037800,231.700000,8428.500000,true,false
260909146,150,0,science,4,90.900000,111.635000,35.267000,177.177500,8851.700000,true,false
260909146,150,1,culture,4,186.900000,102.821000,160.618000,0.000000,14815.800000,true,false
260909146,150,2,religious,4,109.600000,50.797600,24.500000,12.500000,9999.600000,true,false
260909146,150,3,diplomatic,4,94.500000,48.400000,19.100000,88.503000,9251.000000,true,false
260909146,150,4,domination,4,168.000000,78.281600,90.576000,3.900000,12196.000000,true,false
260909146,150,5,score,4,163.200000,100.000800,68.904000,98.800000,11755.700000,true,false
260909146,175,0,science,4,141.500000,109.290000,39.326000,154.577500,11813.200000,true,false
260909146,175,1,culture,4,187.500000,98.775000,186.649000,0.000000,18656.000000,true,false
260909146,175,2,religious,4,120.300000,47.090000,24.138000,112.232000,12902.000000,true,false
260909146,175,3,diplomatic,4,113.400000,48.140000,25.056000,199.973000,11897.600000,true,false
260909146,175,4,domination,4,203.600000,87.235200,126.394000,5.800000,16671.800000,true,false
260909146,175,5,score,4,183.300000,93.257300,54.005000,0.000000,16582.100000,true,false
260909146,191,0,science,5,217.000000,122.280000,42.660000,413.477500,14504.650000,true,true
260909146,191,1,culture,4,218.680000,99.105000,217.889300,227.398000,21703.880000,true,true
260909146,191,2,religious,4,125.400000,49.800000,25.544000,13.100000,14871.100000,true,true
260909146,191,3,diplomatic,4,110.400000,48.350000,25.282000,173.325000,13674.000000,true,true
260909146,191,4,domination,4,278.240000,83.860000,137.580000,0.000000,20558.700000,true,true
260909146,191,5,score,4,197.400000,86.450000,72.007200,14.340000,19738.800000,true,true
260909147,25,0,science,3,28.600000,19.365000,8.837000,264.800000,440.300000,true,false
260909147,25,1,culture,3,37.700000,8.480000,9.540000,204.200000,519.600000,true,false
260909147,25,2,religious,2,30.800000,11.020000,7.076000,215.700000,473.500000,true,false
260909147,25,3,diplomatic,3,32.400000,7.290000,8.582000,176.000000,461.200000,true,false
260909147,25,4,domination,3,39.100000,9.890000,8.870000,241.700000,562.500000,true,false
260909147,25,5,score,3,35.000000,6.960000,9.744000,210.800000,578.600000,true,false
260909147,50,0,science,3,51.800000,33.085000,23.773000,91.800000,1446.400000,true,false
260909147,50,1,culture,3,75.600000,29.083400,56.109000,347.400000,1990.600000,true,false
260909147,50,2,religious,3,53.200000,19.140000,9.860000,114.000000,1580.000000,true,false
260909147,50,3,diplomatic,3,54.600000,28.536000,16.356000,136.461000,1576.600000,true,false
260909147,50,4,domination,3,60.800000,33.240000,24.604000,63.248000,1780.000000,true,false
260909147,50,5,score,3,60.200000,31.948800,18.672000,294.400000,1787.400000,true,false
260909147,75,0,science,4,60.200000,51.501600,30.348000,293.840000,2794.600000,true,false
260909147,75,1,culture,3,96.600000,41.315000,95.405000,184.097000,4046.100000,true,false
260909147,75,2,religious,3,66.800000,27.029000,11.832000,22.700000,3067.800000,true,false
260909147,75,3,diplomatic,4,86.800000,46.400000,21.808000,9.209000,3476.200000,true,false
260909147,75,4,domination,3,73.700000,64.967600,25.446000,50.000000,3494.700000,true,false
260909147,75,5,score,4,91.500000,48.040000,21.998000,258.382000,3549.600000,true,false
260909147,100,0,science,4,64.400000,74.724200,37.735000,131.240000,4435.400000,true,false
260909147,100,1,culture,4,123.900000,61.419500,88.607000,180.573500,7016.400000,true,false
260909147,100,2,religious,4,85.400000,37.610000,13.602000,36.400000,5001.400000,true,false
