0.1000,0.0333,0.1250,0.0130,0.0328,0.2000,0.1000,0.0600,0.0720,0.0750,0.1540,0.0400,0.1000,0.0333,0.1000,0.0130,0.0000,0.1880,0.1000,0.0600,0.0320,0.0875,0.1660,0.0300,0.1000,0.1000,0.0000,0.0000,0.6740,0.0000,0.3500,0.0500,0.0000,0.1000,0,0
0.1000,0.0333,0.1000,0.0130,0.0000,0.2000,0.1000,0.0600,0.0320,0.0750,0.1440,0.0300,0.1000,0.0333,0.1250,0.0130,0.0328,0.2000,0.1000,0.0600,0.0720,0.0750,0.1540,0.0400,0.1000,0.1000,0.0000,0.0000,0.6740,0.0000,0.1750,0.0000,0.0000,0.1600,1,0
0.1000,0.0333,0.1000,0.0130,0.0000,0.2000,0.1000,0.0600,0.0320,0.0625,0.2120,0.0300,0.1000,0.0333,0.1250,0.0130,0.0328,0.2000,0.1000,0.0600,0.0720,0.0750,0.1540,0.0400,0.1000,0.1000,0.0000,0.0000,0.6740,0.0000,0.1500,0.0000,0.0000,0.1600,0,0
0.1000,0.0333,0.1000,0.0130,0.0000,0.1880,0.1000,0.0600,0.0320,0.0875,0.1660,0.0300,0.1000,0.0333,0.1250,0.0130,0.0328,0.2000,0.1000,0.0600,0.0720,0.0750,0.1540,0.0400,0.1000,0.0940,0.1000,0.0000,0.6770,0.0000,0.2250,0.0000,0.0000,0.1600,0,0
0.1000,0.0333,0.1375,0.0260,0.0328,0.2000,0.1500,0.0600,0.0720,0.0625,0.3080,0.0450,0.2000,0.0667,0.2000,0.0260,0.0164,0.1440,0.1500,0.0800,0.0440,0.0875,0.3900,0.0600,0.2000,0.1500,0.0000,0.0000,1.0228,0.0000,0.3500,0.0500,0.0000,0.1080,0,0
0.2000,0.0500,0.2000,0.0260,0.0164,0.2000,0.1500,0.0760,0.0412,0.1100,0.4096,0.0575,0.2000,0.0667,0.2000,0.0260,0.0164,0.1440,0.1500,0.0800,0.0440,0.0875,0.3900,0.0600,0.2000,0.1500,0.0000,0.0000,1.0228,0.0000,0.2500,0.0000,0.0000,0.2400,1,0
0.2000,0.0667,0.2000,0.0260,0.0164,0.1440,0.1500,0.0800,0.0440,0.0875,0.3900,0.0600,0.2000,0.0500,0.2000,0.0260,0.0164,0.2000,0.1500,0.0760,0.0412,0.1100,0.4096,0.0575,0.2000,0.1220,0.2000,0.0000,1.0368,0.2000,0.0667,0.0000,0.0000,0.2400,0,0
0.1000,0.0333,0.1125,0.0260,0.0328,0.1720,0.2000,0.0600,0.0320,0.0875,0.3660,0.0500,0.2000,0.0667,0.2000,0.0260,0.0164,0.1440,0.1500,0.0800,0.0440,0.0875,0.3900,0.0600,0.2000,0.1860,0.2000,0.0000,1.0048,0.0000,0.2375,0.0000,0.0000,0.1200,0,0
0.2000,0.0667,0.2625,0.0519,0.0656,0.1870,0.1500,0.0800,0.1240,0.1750,0.8340,0.0950,0.2000,0.1000,0.2375,0.0390,0.0492,0.1590,0.1000,0.1000,0.1560,0.1125,0.1540,0.0950,0.3000,0.1310,0.2000,0.0000,1.1207,0.0000,0.3500,0.1000,0.0000,0.2460,0,0
0.2000,0.0833,0.2500,0.0390,0.0492,0.2000,0.2000,0.0960,0.1372,0.0688,0.3326,0.0875,0.2000,0.1000,0.2375,0.0390,0.0492,0.1590,0.1000,0.1000,0.1560,0.1125,0.1540,0.0950,0.3000,0.2000,0.0000,0.0000,1.0863,0.0000,0.3250,0.1000,0.0000,0.3400,1,0
0.2000,0.1000,0.2375,0.0390,0.0492,0.1590,0.1000,0.1000,0.1560,0.1125,0.1540,0.0950,0.2000,0.0667,0.2625,0.0519,0.0656,0.1870,0.1500,0.0800,0.1240,0.1750,0.8340,0.0950,0.3000,0.0795,0.1000,0.0000,1.1465,0.0000,0.1000,0.1000,0.0000,0.2900,0,0
0.1000,0.0500,0.1375,0.0519,0.0328,0.1720,0.1500,0.0700,0.0780,0.1750,0.3720,0.0650,0.2000,0.1000,0.2375,0.0390,0.0492,0.1590,0.1000,0.1000,0.1560,0.1125,0.1540,0.0950,0.3000,0.1360,0.2000,0.0000,1.1183,0.1000,0.1500,0.0500,0.0000,0.2200,0,0
0.2000,0.1000,0.3000,0.0649,0.0820,0.1870,0.2500,0.0950,0.1482,0.1663,0.2312,0.1100,0.4000,0.1833,0.4500,0.0779,0.0656,0.2020,0.3000,0.1615,0.1767,0.1306,0.4104,0.1425,0.4000,0.2310,0.2000,0.0000,1.2455,0.2000,0.2000,0.1500,0.0000,0.2380,0,0
