0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0075,0.1000,0.0333,0.1125,0.0260,0.0164,0.1650,0.1000,0.0600,0.0320,0.0875,0.2360,0.0350,0.1000,0.1000,0.0000,0.0000,0.6213,0.1000,0.1000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.1000,0.0000,0.0000,0.0000,0.1000,0.0075,0.1000,0.0333,0.1125,0.0260,0.0164,0.1650,0.1000,0.0600,0.0320,0.0875,0.2360,0.0350,0.1000,0.1000,0.0000,0.0000,0.6213,0.0000,0.2000,0.0000,0.0000,0.0000,0,0
0.1000,0.0167,0.0875,0.0000,0.0000,0.2000,0.1000,0.0500,0.0260,0.0625,0.1700,0.0275,0.1000,0.0333,0.1125,0.0260,0.0164,0.1650,0.1000,0.0600,0.0320,0.0875,0.2360,0.0350,0.1000,0.1000,0.0000,0.0000,0.6213,0.0000,0.1250,0.0000,0.0000,0.1000,1,0
0.1000,0.0333,0.1125,0.0260,0.0164,0.1650,0.1000,0.0600,0.0320,0.0875,0.2360,0.0350,0.1000,0.0167,0.0875,0.0000,0.0000,0.2000,0.1000,0.0500,0.0260,0.0625,0.1700,0.0275,0.1000,0.0825,0.2000,0.0000,0.6300,0.1000,0.0750,0.0000,0.0000,0.1600,0,0
0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.1000,0.0000,0.0000,0.0000,0.1000,0.0125,0.1000,0.0500,0.1125,0.0260,0.0164,0.1450,0.1500,0.0700,0.0780,0.1125,0.6860,0.0650,0.2000,0.1000,0.0000,0.0000,0.8515,0.1000,0.0750,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.1000,0.0000,0.0000,0.0000,0.1000,0.0075,0.1000,0.0500,0.1125,0.0260,0.0164,0.1450,0.1500,0.0700,0.0780,0.1125,0.6860,0.0650,0.2000,0.1000,0.0000,0.0000,0.8515,0.0000,0.1250,0.0000,0.0000,0.0000,0,0
0.1000,0.0500,0.1125,0.0260,0.0164,0.1450,0.1500,0.0700,0.0780,0.1125,0.6860,0.0650,0.1000,0.0333,0.1250,0.0390,0.0328,0.0000,0.1000,0.0600,0.0720,0.0875,0.5140,0.0500,0.2000,0.1225,0.1000,0.0000,0.8403,0.0000,0.4167,0.0500,0.0000,0.1300,1,0
0.1000,0.0333,0.1250,0.0390,0.0328,0.0000,0.1000,0.0600,0.0720,0.0875,0.5140,0.0500,0.1000,0.0500,0.1125,0.0260,0.0164,0.1450,0.1500,0.0700,0.0780,0.1125,0.6860,0.0650,0.2000,0.1000,0.0000,0.0000,0.8515,0.0000,0.4250,0.0500,0.0000,0.0800,0,0
0.1000,0.0167,0.1000,0.0000,0.0000,0.1000,0.0500,0.0500,0.0660,0.0625,0.2500,0.0350,0.1000,0.0500,0.1500,0.0390,0.0328,0.3200,0.3000,0.0700,0.0780,0.1500,0.6800,0.0825,0.3000,0.0500,0.0000,0.0000,0.9828,0.1000,0.0500,0.0500,0.0000,0.0800,0,0
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.1000,0.0075,0.1000,0.0500,0.1500,0.0390,0.0328,0.3200,0.3000,0.0700,0.0780,0.1500,0.6800,0.0825,0.3000,0.0500,0.0000,0.0000,0.9828,0.0000,0.1500,0.0000,0.0000,0.0000,0,0
